UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
sukhbir kaur,@sukhbxrkaur,2020-04-01T04:19:03.000Z,"Sunnybrook Hospital.
#COVID19 #Coronavirusontario #COVID19Ontario 
Reply back if anyone is able to donate anything listed below-",,,4,39,18,['https://pbs.twimg.com/media/EUfacJbWAAIVi9A?format=jpg&name=900x900'],https://twitter.com/sukhbxrkaur/status/1245204001974620160
Joanna Lavoie,@JoannaLavoie,2020-04-01T14:14:14.000Z,"Spotted this morning in #RiverdaleTO #eastTO ~
#FrontLineHeroes #COVID19 #coronavirus #coronaviruspandamic #thankyou",,,,2,9,['https://pbs.twimg.com/media/EUhipXOX0AcZuZU?format=jpg&name=small'],https://twitter.com/JoannaLavoie/status/1245353785825857543
UofTMDPhD,@uoftmdphd,2020-04-01T02:18:55.000Z,"New peer-reviewed #covid19 biology and diagnostics technology review from 
@TheChanLab
 and our student Hannah Kozlowski! ","Quote Tweet
The Chan Lab
@TheChanLab
 · Mar 31, 2020
New paper alert!
Check out our review paper in @acsnano on
- the biology of the #COVID19 virus,
- current and emerging #diagnostics tools, and
- #surveillance strategies to monitor the ongoing pandemic. 
#FlattenTheCurve
https://pubs.acs.org/doi/10.1021/acsnano.0c02624…
Show this thread",🦠 🔬 🚨 🚨 🩺 🧬 🏥,,3,16,['https://pbs.twimg.com/profile_images/784099012496486400/xhrnJ3Dq_mini.jpg'],https://twitter.com/uoftmdphd/status/1245173767430713344
Sonia Ojha,@QueenSonia90,2020-04-01T18:00:17.000Z,"The new norm for productive meetings! Wish we could see all of our 
@MBOTOntario
 members this way! #StayAtHomeAndStaySafe #COVID19 #CoronavirusPandemic",,,1,2,7,['https://pbs.twimg.com/media/EUiWXE4XQAATWyJ?format=jpg&name=small'],https://twitter.com/QueenSonia90/status/1245410670474080256
Ms. J. Allen,@JAllenite,2020-04-01T18:10:02.000Z,"Sending lots of 
 to our @DerryWest & 
@PeelSchools
 family. We miss our students and the familiarity that school brings into our lives. 
 @MsBowenDWV
 for creating this collage @ClimatePeel 
@ETFOPeel
 @ETFOeducators
 #COVID19","Quote Tweet
Ms.Bowen
@MsBowenDWV
 · Apr 1, 2020
To our @DerryWest Village families, We wanted you to know that we are thinking of you and miss you terribly. We will see you all soon. 
Show this thread",❤ 🙏 💜 🐺,,2,17,"['https://pbs.twimg.com/profile_images/1327081383353847811/c5gOtfqp_mini.jpg', 'https://pbs.twimg.com/media/EUiThFcX0AMDeOP?format=jpg&name=small', 'https://pbs.twimg.com/media/EUiThFdWsAcEsNv?format=jpg&name=small']",https://twitter.com/JAllenite/status/1245413124443947013
Karen López,@datachick,2020-04-01T12:44:11.000Z,"Received my first April Fool  vendor prank email today.  Yes, of course it was about #COVID19 

Vendors.  Don’t.",,,2,7,25,[],https://twitter.com/datachick/status/1245331123254804480
Derek Stockley,@derek_stockley,2020-04-01T20:18:52.000Z,"VERY important to pay attention for signs that you need a #wellness break while #SocialDistancing 

Like when you start replicating #Bowie album covers while on conference calls. 

#COVID19",,,2,2,57,['https://pbs.twimg.com/media/EUi2Hk7XgBER_Lx?format=jpg&name=small'],https://twitter.com/derek_stockley/status/1245445546057314304
Derek Stockley,@derek_stockley,2020-04-01T15:57:53.000Z,"Thank-you to 
@HumberFSCS
 faculty 
@francissyms
 on the #virtual frontlines of the #COVID19 fight.  

Read about how this group is helping protect 
 hospitals, health-care, municipalities + critical infrastructure from online attacks.","All-volunteer cyber civil defence brigade assembles to fight COVID-19 hackers | CBC News
Civil defence in the online world means fighting hackers and cyber criminals looking to take down or ransom critical infrastructure, such as hospitals. The COVID-19 crisis has prompted Canadian IT...
cbc.ca",,,4,10,['https://pbs.twimg.com/card_img/1385359565169045504/GHxGEcBT?format=jpg&name=small'],https://twitter.com/derek_stockley/status/1245379868357001216
LeasideUnitedChurch,@LeasideUnited,2020-04-01T23:45:47.000Z,"From 
@JayeRobinson
 We are at a critical point in our battle against #COVID19. Each time you decide to stay home you r saving lives. As recommended by 
@epdevilla
 all residents should stay at home except to:
-Access healthcare 
-Shop for groceries once/week
-Walk pets
-Get exercise",,,,1,3,[],https://twitter.com/LeasideUnited/status/1245497618089807872
Jeffrey Luscombe,@JeffreyLuscombe,2020-04-01T21:09:28.000Z,"My isolation day 
 attire. Later I may put on my evening long underwear 
#StayHome
 #COVID19 #toronto #IsolationLife",,😆,3,1,12,['https://pbs.twimg.com/media/EUjBswZXgAEocvR?format=jpg&name=900x900'],https://twitter.com/JeffreyLuscombe/status/1245458280958345216
