UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
UofTMDPhD,@uoftmdphd,2020-04-01T02:18:55.000Z,"New peer-reviewed #covid19 biology and diagnostics technology review from 
@TheChanLab
 and our student Hannah Kozlowski! ","Quote Tweet
The Chan Lab
@TheChanLab
 · Mar 31, 2020
New paper alert!
Check out our review paper in @acsnano on
- the biology of the #COVID19 virus,
- current and emerging #diagnostics tools, and
- #surveillance strategies to monitor the ongoing pandemic. 
#FlattenTheCurve
https://pubs.acs.org/doi/10.1021/acsnano.0c02624…
Show this thread",🦠 🔬 🚨 🚨 🩺 🧬 🏥,,3,16,['https://pbs.twimg.com/profile_images/784099012496486400/xhrnJ3Dq_mini.jpg'],https://twitter.com/uoftmdphd/status/1245173767430713344
sukhbir kaur,@sukhbxrkaur,2020-04-01T04:19:03.000Z,"Sunnybrook Hospital.
#COVID19 #Coronavirusontario #COVID19Ontario 
Reply back if anyone is able to donate anything listed below-",,,4,39,18,['https://pbs.twimg.com/media/EUfacJbWAAIVi9A?format=jpg&name=900x900'],https://twitter.com/sukhbxrkaur/status/1245204001974620160
Joanna Lavoie,@JoannaLavoie,2020-04-01T14:14:14.000Z,"Spotted this morning in #RiverdaleTO #eastTO ~
#FrontLineHeroes #COVID19 #coronavirus #coronaviruspandamic #thankyou",,,,2,9,['https://pbs.twimg.com/media/EUhipXOX0AcZuZU?format=jpg&name=small'],https://twitter.com/JoannaLavoie/status/1245353785825857543
Sonia Ojha,@QueenSonia90,2020-04-01T18:00:17.000Z,"The new norm for productive meetings! Wish we could see all of our 
@MBOTOntario
 members this way! #StayAtHomeAndStaySafe #COVID19 #CoronavirusPandemic",,,1,2,7,['https://pbs.twimg.com/media/EUiWXE4XQAATWyJ?format=jpg&name=small'],https://twitter.com/QueenSonia90/status/1245410670474080256
KapG,@420investing,2020-04-01T20:58:14.000Z,Premier doesn't want to cause 'panic' by releasing province's COVID-19 models https://cp24.com/news/premier-doesn-t-want-to-cause-panic-by-releasing-province-s-covid-19-models-1.4877845…,"Premier doesn't want to cause 'panic' by releasing province's COVID-19 models
The premier of Ontario says he is hesitant to release numbers tracking the potential impact of the COVID-19 pandemic, fearing the province’s modelling could cause “panic.”
cp24.com",😒,1,4,4,['https://pbs.twimg.com/card_img/1385996457308827655/TnyROMdb?format=jpg&name=small'],https://twitter.com/420investing/status/1245455453234114561
David J. Doorey,@TheLawofWork,2020-04-01T01:16:17.000Z,"From my Law of Work book, look how workers joined unions during the world wars. Crisis and labour power pushed unionization as workers demanded better, safer working conditions. 

We are seeing seeds of employee activism during #COVID19.",,,1,35,69,['https://pbs.twimg.com/media/EUewl0jWkAAmm0y?format=jpg&name=small'],https://twitter.com/TheLawofWork/status/1245158005513031685
Ms. J. Allen,@JAllenite,2020-04-01T18:10:02.000Z,"Sending lots of 
 to our @DerryWest & 
@PeelSchools
 family. We miss our students and the familiarity that school brings into our lives. 
 @MsBowenDWV
 for creating this collage @ClimatePeel 
@ETFOPeel
 @ETFOeducators
 #COVID19","Quote Tweet
Ms.Bowen
@MsBowenDWV
 · Apr 1, 2020
To our @DerryWest Village families, We wanted you to know that we are thinking of you and miss you terribly. We will see you all soon. 
Show this thread",❤ 🙏 💜 🐺,,2,17,"['https://pbs.twimg.com/profile_images/1327081383353847811/c5gOtfqp_mini.jpg', 'https://pbs.twimg.com/media/EUiThFcX0AMDeOP?format=jpg&name=small', 'https://pbs.twimg.com/media/EUiThFdWsAcEsNv?format=jpg&name=small']",https://twitter.com/JAllenite/status/1245413124443947013
LeasideUnitedChurch,@LeasideUnited,2020-04-01T23:45:47.000Z,"From 
@JayeRobinson
 We are at a critical point in our battle against #COVID19. Each time you decide to stay home you r saving lives. As recommended by 
@epdevilla
 all residents should stay at home except to:
-Access healthcare 
-Shop for groceries once/week
-Walk pets
-Get exercise",,,,1,3,[],https://twitter.com/LeasideUnited/status/1245497618089807872
Karen López,@datachick,2020-04-01T12:44:11.000Z,"Received my first April Fool  vendor prank email today.  Yes, of course it was about #COVID19 

Vendors.  Don’t.",,,2,7,25,[],https://twitter.com/datachick/status/1245331123254804480
Derek Stockley,@derek_stockley,2020-04-01T15:57:53.000Z,"Thank-you to 
@HumberFSCS
 faculty 
@francissyms
 on the #virtual frontlines of the #COVID19 fight.  

Read about how this group is helping protect 
 hospitals, health-care, municipalities + critical infrastructure from online attacks.","All-volunteer cyber civil defence brigade assembles to fight COVID-19 hackers | CBC News
Civil defence in the online world means fighting hackers and cyber criminals looking to take down or ransom critical infrastructure, such as hospitals. The COVID-19 crisis has prompted Canadian IT...
cbc.ca",,,4,10,['https://pbs.twimg.com/card_img/1385359565169045504/GHxGEcBT?format=jpg&name=small'],https://twitter.com/derek_stockley/status/1245379868357001216
